round_number,rank,player_name,team_name,matches_all,matches_played,percentage_played,matches_won,matches_lost,matches_won_percent
1,11,Player 042,Team 014,4,4,100.0,1,3,25.0
1,11,Player 043,Team 014,4,4,100.0,1,3,25.0
1,11,Player 044,Team 014,4,4,100.0,1,3,25.0
1,11,Player 045,Team 009,4,4,100.0,1,3,25.0
1,11,Player 046,Team 015,4,4,100.0,1,3,25.0
1,11,Player 047,Team 015,4,4,100.0,1,3,25.0
1,11,Player 048,Team 015,4,4,100.0,1,3,25.0
1,12,Player 049,Team 007,4,4,100.0,1,3,25.0
1,12,Player 050,Team 001,4,4,100.0,1,3,25.0
1,13,Player 051,Team 013,4,4,100.0,0,4,0.0
1,13,Player 052,Team 013,4,4,100.0,0,4,0.0
1,13,Player 053,Team 002,4,4,100.0,0,4,0.0
1,13,Player 054,Team 002,4,4,100.0,0,4,0.0
1,13,Player 055,Team 016,4,4,100.0,0,4,0.0
1,13,Player 056,Team 015,4,4,100.0,0,4,0.0
1,13,Player 057,Team 016,4,4,100.0,0,4,0.0
1,13,Player 058,Team 009,4,4,100.0,0,4,0.0
1,13,Player 059,Team 016,4,4,100.0,0,4,0.0
1,14,Player 060,Team 008,4,2,50.0,0,2,0.0
1,14,Player 061,Team 005,4,2,50.0,0,2,0.0
1,14,Player 062,Team 006,4,2,50.0,0,2,0.0
1,15,Player 063,Team 010,4,4,100.0,0,4,0.0
1,15,Player 064,Team 010,4,4,100.0,0,4,0.0
1,,Player 065,Team 007,4,1,25.0,0,1,0.0
2,1,Player 006,Team 005,8,8,100.0,8,0,100.0
2,1,Player 012,Team 005,8,8,100.0,8,0,100.0
2,1,Player 013,Team 001,8,8,100.0,8,0,100.0
2,2,Player 014,Team 007,8,7,87.5,7,0,100.0
2,3,Player 001,Team 001,8,4,50.0,4,0,100.0
2,3,Player 066,Team 013,8,4,50.0,4,0,100.0
2,3,Player 067,Team 003,8,4,50.0,4,0,100.0
2,3,Player 068,Team 009,8,4,50.0,4,0,100.0
2,3,Player 069,Team 001,8,4,50.0,4,0,100.0
2,3,Player 007,Team 001,8,4,50.0,4,0,100.0
2,3,Player 008,Team 003,8,4,50.0,4,0,100.0
2,4,Player 016,Team 008,8,8,100.0,7,1,87.5
2,4,Player 002,Team 002,8,8,100.0,7,1,87.5
2,4,Player 004,Team 004,8,8,100.0,7,1,87.5
2,4,Player 009,Team 004,8,8,100.0,7,1,87.5
2,5,Player 026,Team 007,8,6,75.0,5,1,83.34
2,6,Player 037,Team 008,8,8,100.0,6,2,75.0
2,6,Player 010,Team 006,8,8,100.0,6,2,75.0
2,7,Player 070,Team 014,8,4,50.0,3,1,75.0
2,7,Player 017,Team 004,8,4,50.0,3,1,75.0
2,7,Player 071,Team 014,8,4,50.0,3,1,75.0
2,7,Player 019,Team 009,8,4,50.0,3,1,75.0
2,7,Player 027,Team 009,8,4,50.0,3,1,75.0
2,7,Player 021,Team 011,8,4,50.0,3,1,75.0
2,7,Player 072,Team 011,8,4,50.0,3,1,75.0
2,8,Player 003,Team 003,8,8,100.0,6,2,75.0
2,9,Player 024,Team 010,8,4,50.0,3,1,75.0
2,10,Player 046,Team 015,8,8,100.0,5,3,62.5
2,10,Player 022,Team 011,8,8,100.0,5,3,62.5
2,10,Player 047,Team 015,8,8,100.0,5,3,62.5
2,10,Player 048,Team 015,8,8,100.0,5,3,62.5
2,10,Player 023,Team 011,8,8,100.0,5,3,62.5
2,10,Player 025,Team 012,8,8,100.0,5,3,62.5
2,10,Player 034,Team 007,8,8,100.0,5,3,62.5
2,11,Player 020,Team 010,8,8,100.0,5,3,62.5
2,12,Player 038,Team 005,8,8,100.0,5,3,62.5
2,12,Player 005,Team 003,8,8,100.0,5,3,62.5
2,12,Player 011,,8,8,100.0,5,3,62.5
2,13,Player 039,Team 012,8,8,100.0,4,4,50.0
2,14,Player 073,Team 006,8,4,50.0,2,2,50.0
2,14,Player 029,Team 013,8,4,50.0,2,2,50.0
2,14,Player 074,Team 002,8,4,50.0,2,2,50.0
2,14,Player 031,Team 014,8,4,50.0,2,2,50.0
2,14,Player 033,Team 011,8,4,50.0,2,2,50.0
2,14,Player 075,Team 004,8,4,50.0,2,2,50.0
2,14,Player 036,Team 008,8,4,50.0,2,2,50.0
2,15,Player 018,Team 004,8,8,100.0,4,4,50.0
2,15,Player 028,Team 012,8,8,100.0,4,4,50.0
2,16,Player 076,Team 001,8,4,50.0,2,2,50.0
2,16,Player 077,Team 008,8,4,50.0,2,2,50.0
2,17,Player 056,Team 015,8,8,100.0,3,5,37.5
2,17,Player 044,Team 014,8,8,100.0,3,5,37.5
2,17,Player 032,Team 006,8,8,100.0,3,5,37.5
2,18,Player 030,Team 006,8,6,75.0,2,4,33.34
2,19,Player 052,Team 013,8,8,100.0,2,6,25.0
2,20,Player 041,Team 002,8,4,50.0,1,3,25.0
2,20,Player 078,Team 002,8,4,50.0,1,3,25.0
2,20,Player 042,Team 014,8,4,50.0,1,3,25.0
2,20,Player 043,Team 014,8,4,50.0,1,3,25.0
2,20,Player 079,Team 009,8,4,50.0,1,3,25.0
2,20,Player 080,Team 009,8,4,50.0,1,3,25.0
2,20,Player 045,Team 009,8,4,50.0,1,3,25.0
2,20,Player 081,Team 009,8,4,50.0,1,3,25.0
2,20,Player 082,Team 011,8,4,50.0,1,3,25.0
2,20,Player 083,Team 012,8,4,50.0,1,3,25.0
2,21,Player 049,Team 007,8,4,50.0,1,3,25.0
2,21,Player 084,Team 014,8,4,50.0,1,3,25.0
2,22,Player 051,Team 013,8,8,100.0,1,7,12.5
2,22,Player 053,Team 002,8,8,100.0,1,7,12.5
2,22,Player 059,Team 016,8,8,100.0,1,7,12.5
2,22,Player 050,Team 001,8,8,100.0,1,7,12.5
2,23,Player 063,Team 010,8,8,100.0,0,8,0.0
2,23,Player 064,Team 010,8,8,100.0,0,8,0.0
2,24,Player 060,Team 008,8,4,50.0,0,4,0.0
2,24,Player 054,Team 002,8,4,50.0,0,4,0.0
2,24,Player 055,Team 016,8,4,50.0,0,4,0.0
2,24,Player 085,Team 016,8,4,50.0,0,4,0.0
2,24,Player 057,Team 016,8,4,50.0,0,4,0.0
2,24,Player 086,Team 016,8,4,50.0,0,4,0.0
2,24,Player 087,Team 016,8,4,50.0,0,4,0.0
2,24,Player 088,Team 007,8,4,50.0,0,4,0.0
2,24,Player 058,Team 009,8,4,50.0,0,4,0.0
2,24,Player 089,Team 010,8,4,50.0,0,4,0.0
2,,Player 090,Team 005,8,2,25.0,2,0,100.0
2,,Player 015,Team 006,8,2,25.0,2,0,100.0
2,,Player 035,Team 008,8,2,25.0,1,1,50.0
2,,Player 091,Team 005,8,2,25.0,1,1,50.0
2,,Player 040,Team 005,8,2,25.0,1,1,50.0
2,,Player 092,Team 008,8,2,25.0,1,1,50.0
2,,Player 093,Team 007,8,2,25.0,0,2,0.0
2,,Player 061,Team 005,8,2,25.0,0,2,0.0
2,,Player 094,Team 006,8,2,25.0,0,2,0.0
2,,Player 062,Team 006,8,2,25.0,0,2,0.0
2,,Player 065,Team 007,8,1,12.5,0,1,0.0
3,1,Player 006,Team 005,12,12,100.0,12,0,100.0
3,1,Player 012,Team 005,12,12,100.0,12,0,100.0
3,2,Player 067,Team 003,12,8,66.67,8,0,100.0
3,2,Player 069,Team 001,12,8,66.67,8,0,100.0
3,2,Player 007,Team 001,12,8,66.67,8,0,100.0
3,2,Player 013,Team 001,12,8,66.67,8,0,100.0
3,3,Player 004,Team 004,12,12,100.0,11,1,91.67
3,3,Player 009,Team 004,12,12,100.0,11,1,91.67
3,4,Player 014,Team 007,12,11,91.67,10,1,90.91
3,5,Player 001,Team 001,12,8,66.67,7,1,87.5
3,5,Player 002,Team 002,12,8,66.67,7,1,87.5
3,5,Player 068,Team 009,12,8,66.67,7,1,87.5
3,5,Player 008,Team 003,12,8,66.67,7,1,87.5
3,6,Player 021,Team 011,12,8,66.67,7,1,87.5
3,7,Player 026,Team 007,12,6,50.0,5,1,83.34
3,8,Player 020,Team 010,12,12,100.0,9,3,75.0
3,8,Player 022,Team 011,12,12,100.0,9,3,75.0
3,8,Player 025,Team 012,12,12,100.0,9,3,75.0
3,9,Player 017,Team 004,12,8,66.67,6,2,75.0
3,9,Player 031,Team 014,12,8,66.67,6,2,75.0
3,9,Player 033,Team 011,12,8,66.67,6,2,75.0
3,9,Player 075,Team 004,12,8,66.67,6,2,75.0
3,10,Player 016,Team 008,12,12,100.0,9,3,75.0
3,11,Player 076,Team 001,12,8,66.67,6,2,75.0
3,12,Player 037,Team 008,12,12,100.0,8,4,66.67
3,12,Player 003,Team 003,12,12,100.0,8,4,66.67
3,13,Player 005,Team 003,12,8,66.67,5,3,62.5
3,13,Player 023,Team 011,12,8,66.67,5,3,62.5
3,14,Player 082,Team 011,12,8,66.67,5,3,62.5
3,15,Player 039,Team 012,12,12,100.0,7,5,58.34
3,15,Player 010,Team 006,12,12,100.0,7,5,58.34
3,16,Player 034,Team 007,12,12,100.0,7,5,58.34
3,17,Player 047,Team 015,12,12,100.0,7,5,58.34
3,17,Player 048,Team 015,12,12,100.0,7,5,58.34
3,17,Player 011,,12,12,100.0,7,5,58.34
3,18,Player 046,Team 015,12,12,100.0,6,6,50.0
3,19,Player 018,Team 004,12,8,66.67,4,4,50.0
3,19,Player 042,Team 014,12,8,66.67,4,4,50.0
3,19,Player 077,Team 008,12,8,66.67,4,4,50.0
3,19,Player 089,Team 010,12,8,66.67,4,4,50.0
3,19,Player 028,Team 012,12,8,66.67,4,4,50.0
3,20,Player 056,Team 015,12,12,100.0,5,7,41.67
3,20,Player 038,Team 005,12,12,100.0,5,7,41.67
3,21,Player 044,Team 014,12,8,66.67,3,5,37.5
3,21,Player 032,Team 006,12,8,66.67,3,5,37.5
3,21,Player 083,Team 012,12,8,66.67,3,5,37.5
3,22,Player 063,Team 010,12,12,100.0,4,8,33.34
3,22,Player 064,Team 010,12,12,100.0,4,8,33.34
3,23,Player 041,Team 002,12,7,58.34,2,5,28.58
3,24,Player 073,Team 006,12,8,66.67,2,6,25.0
3,24,Player 052,Team 013,12,8,66.67,2,6,25.0
3,24,Player 074,Team 002,12,8,66.67,2,6,25.0
3,25,Player 030,Team 006,12,10,83.34,2,8,20.0
3,26,Player 060,Team 008,12,6,50.0,1,5,16.67
3,27,Player 051,Team 013,12,8,66.67,1,7,12.5
3,27,Player 053,Team 002,12,8,66.67,1,7,12.5
3,27,Player 078,Team 002,12,8,66.67,1,7,12.5
3,27,Player 045,Team 009,12,8,66.67,1,7,12.5
3,27,Player 081,Team 009,12,8,66.67,1,7,12.5
3,27,Player 050,Team 001,12,8,66.67,1,7,12.5
3,28,Player 049,Team 007,12,8,66.67,1,7,12.5
3,29,Player 059,Team 016,12,10,83.34,1,9,10.0
3,30,Player 054,Team 002,12,8,66.67,0,8,0.0
3,30,Player 085,Team 016,12,8,66.67,0,8,0.0
3,30,Player 057,Team 016,12,8,66.67,0,8,0.0
3,30,Player 087,Team 016,12,8,66.67,0,8,0.0
3,30,Player 058,Team 009,12,8,66.67,0,8,0.0
3,31,Player 086,Team 016,12,6,50.0,0,6,0.0
3,,Player 066,Team 013,12,4,33.34,4,0,100.0
3,,Player 090,Team 005,12,2,16.67,2,0,100.0
3,,Player 015,Team 006,12,2,16.67,2,0,100.0
3,,Player 070,Team 014,12,4,33.34,3,1,75.0
3,,Player 095,Team 014,12,4,33.34,3,1,75.0
3,,Player 096,Team 014,12,4,33.34,3,1,75.0
3,,Player 071,Team 014,12,4,33.34,3,1,75.0
3,,Player 019,Team 009,12,4,33.34,3,1,75.0
3,,Player 027,Team 009,12,4,33.34,3,1,75.0
3,,Player 072,Team 011,12,4,33.34,3,1,75.0
3,,Player 024,Team 010,12,4,33.34,3,1,75.0
3,,Player 035,Team 008,12,4,33.34,2,2,50.0
3,,Player 029,Team 013,12,4,33.34,2,2,50.0
3,,Player 036,Team 008,12,4,33.34,2,2,50.0
3,,Player 091,Team 005,12,2,16.67,1,1,50.0
3,,Player 092,Team 008,12,2,16.67,1,1,50.0
3,,Player 084,Team 014,12,4,33.34,1,3,25.0
3,,Player 043,Team 014,12,4,33.34,1,3,25.0
3,,Player 079,Team 009,12,4,33.34,1,3,25.0
3,,Player 080,Team 009,12,4,33.34,1,3,25.0
3,,Player 040,Team 005,12,4,33.34,1,3,25.0
3,,Player 055,Team 016,12,4,33.34,0,4,0.0
3,,Player 061,Team 005,12,4,33.34,0,4,0.0
3,,Player 097,Team 006,12,4,33.34,0,4,0.0
3,,Player 088,Team 007,12,4,33.34,0,4,0.0
3,,Player 065,Team 007,12,3,25.0,0,3,0.0
3,,Player 093,Team 007,12,2,16.67,0,2,0.0
3,,Player 094,Team 006,12,2,16.67,0,2,0.0
3,,Player 098,Team 007,12,2,16.67,0,2,0.0
3,,Player 062,Team 006,12,2,16.67,0,2,0.0
3,,Player 099,Team 002,12,1,8.34,0,1,0.0
4,1,Player 067,Team 003,16,12,75.0,12,0,100.0
4,2,Player 066,Team 013,16,8,50.0,8,0,100.0
4,2,Player 069,Team 001,16,8,50.0,8,0,100.0
4,2,Player 007,Team 001,16,8,50.0,8,0,100.0
4,3,Player 006,Team 005,16,16,100.0,15,1,93.75
4,4,Player 014,Team 007,16,15,93.75,14,1,93.34
4,5,Player 013,Team 001,16,12,75.0,11,1,91.67
4,6,Player 026,Team 007,16,10,62.5,9,1,90.0
4,7,Player 001,Team 001,16,8,50.0,7,1,87.5
4,7,Player 019,Team 009,16,8,50.0,7,1,87.5
4,7,Player 072,Team 011,16,8,50.0,7,1,87.5
4,7,Player 068,Team 009,16,8,50.0,7,1,87.5
4,8,Player 009,Team 004,16,16,100.0,14,2,87.5
4,9,Player 002,Team 002,16,12,75.0,10,2,83.34
4,9,Player 031,Team 014,16,12,75.0,10,2,83.34
4,9,Player 008,Team 003,16,12,75.0,10,2,83.34
4,10,Player 021,Team 011,16,12,75.0,10,2,83.34
4,11,Player 004,Team 004,16,16,100.0,12,4,75.0
4,11,Player 022,Team 011,16,16,100.0,12,4,75.0
4,11,Player 025,Team 012,16,16,100.0,12,4,75.0
4,12,Player 096,Team 014,16,8,50.0,6,2,75.0
4,12,Player 033,Team 011,16,8,50.0,6,2,75.0
4,12,Player 024,Team 010,16,8,50.0,6,2,75.0
4,12,Player 075,Team 004,16,8,50.0,6,2,75.0
4,13,Player 012,Team 005,16,16,100.0,12,4,75.0
4,14,Player 016,Team 008,16,16,100.0,12,4,75.0
4,14,Player 020,Team 010,16,16,100.0,12,4,75.0
4,15,Player 076,Team 001,16,12,75.0,9,3,75.0
4,16,Player 039,Team 012,16,16,100.0,11,5,68.75
4,17,Player 037,Team 008,16,16,100.0,11,5,68.75
4,18,Player 003,Team 003,16,16,100.0,10,6,62.5
4,19,Player 023,Team 011,16,8,50.0,5,3,62.5
4,20,Player 017,Team 004,16,12,75.0,7,5,58.34
4,20,Player 042,Team 014,16,12,75.0,7,5,58.34
4,20,Player 048,Team 015,16,12,75.0,7,5,58.34
4,20,Player 028,Team 012,16,12,75.0,7,5,58.34
4,20,Player 011,,16,12,75.0,7,5,58.34
4,20,Player 034,Team 007,16,12,75.0,7,5,58.34
4,21,Player 082,Team 011,16,12,75.0,7,5,58.34
4,22,Player 010,Team 006,16,16,100.0,9,7,56.25
4,23,Player 046,Team 015,16,16,100.0,8,8,50.0
4,23,Player 047,Team 015,16,16,100.0,8,8,50.0
4,24,Player 005,Team 003,16,12,75.0,6,6,50.0
4,25,Player 029,Team 013,16,8,50.0,4,4,50.0
4,25,Player 084,Team 014,16,8,50.0,4,4,50.0
4,25,Player 089,Team 010,16,8,50.0,4,4,50.0
4,26,Player 077,Team 008,16,12,75.0,6,6,50.0
4,27,Player 018,Team 004,16,12,75.0,5,7,41.67
4,27,Player 038,Team 005,16,12,75.0,5,7,41.67
4,28,Player 056,Team 015,16,16,100.0,6,10,37.5
4,29,Player 044,Team 014,16,8,50.0,3,5,37.5
4,29,Player 080,Team 009,16,8,50.0,3,5,37.5
4,30,Player 032,Team 006,16,12,75.0,4,8,33.34
4,31,Player 083,Team 012,16,12,75.0,4,8,33.34
4,32,Player 063,Team 010,16,14,87.5,4,10,28.58
4,32,Player 064,Team 010,16,14,87.5,4,10,28.58
4,33,Player 073,Team 006,16,12,75.0,3,9,25.0
4,33,Player 052,Team 013,16,12,75.0,3,9,25.0
4,33,Player 045,Team 009,16,12,75.0,3,9,25.0
4,34,Player 074,Team 002,16,8,50.0,2,6,25.0
4,35,Player 059,Team 016,16,14,87.5,3,11,21.43
4,36,Player 030,Team 006,16,10,62.5,2,8,20.0
4,37,Player 041,Team 002,16,11,68.75,2,9,18.19
4,38,Player 085,Team 016,16,12,75.0,2,10,16.67
4,39,Player 049,Team 007,16,8,50.0,1,7,12.5
4,39,Player 060,Team 008,16,8,50.0,1,7,12.5
4,39,Player 081,Team 009,16,8,50.0,1,7,12.5
4,39,Player 050,Team 001,16,8,50.0,1,7,12.5
4,40,Player 057,Team 016,16,10,62.5,1,9,10.0
4,41,Player 051,Team 013,16,12,75.0,1,11,8.34
4,41,Player 053,Team 002,16,12,75.0,1,11,8.34
4,41,Player 078,Team 002,16,12,75.0,1,11,8.34
4,41,Player 087,Team 016,16,12,75.0,1,11,8.34
4,42,Player 054,Team 002,16,8,50.0,0,8,0.0
4,42,Player 061,Team 005,16,8,50.0,0,8,0.0
4,42,Player 086,Team 016,16,8,50.0,0,8,0.0
4,42,Player 058,Team 009,16,8,50.0,0,8,0.0
4,,Player 100,Team 001,16,4,25.0,4,0,100.0
4,,Player 090,Team 005,16,2,12.5,2,0,100.0
4,,Player 015,Team 006,16,2,12.5,2,0,100.0
4,,Player 101,Team 001,16,4,25.0,3,1,75.0
4,,Player 070,Team 014,16,4,25.0,3,1,75.0
4,,Player 095,Team 014,16,4,25.0,3,1,75.0
4,,Player 071,Team 014,16,4,25.0,3,1,75.0
4,,Player 027,Team 009,16,4,25.0,3,1,75.0
4,,Player 035,Team 008,16,4,25.0,2,2,50.0
4,,Player 029,Team 009,16,4,25.0,2,2,50.0
4,,Player 092,Team 008,16,4,25.0,2,2,50.0
4,,Player 036,Team 008,16,4,25.0,2,2,50.0
4,,Player 091,Team 005,16,2,12.5,1,1,50.0
4,,Player 093,Team 007,16,6,37.5,2,4,33.34
4,,Player 043,Team 014,16,4,25.0,1,3,25.0
4,,Player 079,Team 009,16,4,25.0,1,3,25.0
4,,Player 040,Team 005,16,4,25.0,1,3,25.0
4,,Player 102,Team 006,16,4,25.0,1,3,25.0
4,,Player 098,Team 007,16,6,37.5,0,6,0.0
4,,Player 055,Team 016,16,4,25.0,0,4,0.0
4,,Player 103,Team 010,16,4,25.0,0,4,0.0
4,,Player 104,Team 005,16,4,25.0,0,4,0.0
4,,Player 097,Team 006,16,4,25.0,0,4,0.0
4,,Player 088,Team 007,16,4,25.0,0,4,0.0
4,,Player 065,Team 007,16,3,18.75,0,3,0.0
4,,Player 094,Team 006,16,2,12.5,0,2,0.0
4,,Player 062,Team 006,16,2,12.5,0,2,0.0
4,,Player 099,Team 002,16,1,6.25,0,1,0.0
5,1,Player 007,Team 001,20,12,60.0,12,0,100.0
5,2,Player 006,Team 005,20,20,100.0,19,1,95.0
5,3,Player 014,Team 007,20,19,95.0,18,1,94.74
5,4,Player 067,Team 003,20,16,80.0,15,1,93.75
5,5,Player 013,Team 001,20,12,60.0,11,1,91.67
5,6,Player 009,Team 004,20,20,100.0,18,2,90.0
5,7,Player 026,Team 007,20,14,70.0,12,2,85.72
5,8,Player 001,Team 001,20,12,60.0,10,2,83.34
5,8,Player 031,Team 014,20,12,60.0,10,2,83.34
5,8,Player 021,Team 011,20,12,60.0,10,2,83.34
5,8,Player 072,Team 011,20,12,60.0,10,2,83.34
5,9,Player 068,Team 009,20,12,60.0,10,2,83.34
5,9,Player 075,Team 004,20,12,60.0,10,2,83.34
5,10,Player 076,Team 001,20,16,80.0,13,3,81.25
5,10,Player 002,Team 002,20,16,80.0,13,3,81.25
5,11,Player 020,Team 010,20,20,100.0,16,4,80.0
5,11,Player 004,Team 004,20,20,100.0,16,4,80.0
5,12,Player 037,Team 008,20,20,100.0,15,5,75.0
5,13,Player 022,Team 011,20,16,80.0,12,4,75.0
5,13,Player 008,Team 003,20,16,80.0,12,4,75.0
5,14,Player 024,Team 010,20,12,60.0,9,3,75.0
5,15,Player 012,Team 005,20,20,100.0,15,5,75.0
5,16,Player 016,Team 008,20,20,100.0,14,6,70.0
5,16,Player 025,Team 012,20,20,100.0,14,6,70.0
5,17,Player 039,Team 012,20,20,100.0,14,6,70.0
5,18,Player 010,Team 006,20,20,100.0,13,7,65.0
5,19,Player 017,Team 004,20,16,80.0,10,6,62.5
5,20,Player 042,Team 014,20,12,60.0,7,5,58.34
5,20,Player 023,Team 011,20,12,60.0,7,5,58.34
5,20,Player 011,,20,12,60.0,7,5,58.34
5,21,Player 082,Team 011,20,12,60.0,7,5,58.34
5,22,Player 048,Team 015,20,16,80.0,9,7,56.25
5,22,Player 028,Team 012,20,16,80.0,9,7,56.25
5,22,Player 034,Team 007,20,16,80.0,9,7,56.25
5,23,Player 046,Team 015,20,20,100.0,11,9,55.0
5,24,Player 003,Team 003,20,20,100.0,10,10,50.0
5,24,Player 047,Team 015,20,20,100.0,10,10,50.0
5,25,Player 029,Team 013,20,12,60.0,6,6,50.0
5,25,Player 033,Team 011,20,12,60.0,6,6,50.0
5,26,Player 077,Team 008,20,12,60.0,6,6,50.0
5,27,Player 005,Team 003,20,16,80.0,7,9,43.75
5,28,Player 018,Team 004,20,12,60.0,5,7,41.67
5,29,Player 032,Team 006,20,16,80.0,6,10,37.5
5,30,Player 083,Team 012,20,16,80.0,6,10,37.5
5,31,Player 063,Team 010,20,18,90.0,6,12,33.34
5,31,Player 064,Team 010,20,18,90.0,6,12,33.34
5,32,Player 038,Team 005,20,16,80.0,5,11,31.25
5,33,Player 073,Team 006,20,13,65.0,4,9,30.77
5,34,Player 056,Team 015,20,20,100.0,6,14,30.0
5,35,Player 052,Team 013,20,16,80.0,4,12,25.0
5,36,Player 045,Team 009,20,12,60.0,3,9,25.0
5,37,Player 049,Team 007,20,12,60.0,3,9,25.0
5,38,Player 059,Team 016,20,14,70.0,3,11,21.43
5,39,Player 030,Team 006,20,10,50.0,2,8,20.0
5,40,Player 041,Team 002,20,11,55.0,2,9,18.19
5,41,Player 053,Team 002,20,16,80.0,2,14,12.5
5,41,Player 078,Team 002,20,16,80.0,2,14,12.5
5,41,Player 085,Team 016,20,16,80.0,2,14,12.5
5,42,Player 051,Team 013,20,12,60.0,1,11,8.34
5,42,Player 087,Team 016,20,12,60.0,1,11,8.34
5,43,Player 057,Team 016,20,14,70.0,1,13,7.15
5,44,Player 054,Team 002,20,12,60.0,0,12,0.0
5,44,Player 086,Team 016,20,12,60.0,0,12,0.0
5,44,Player 058,Team 009,20,12,60.0,0,12,0.0
5,,Player 066,Team 013,20,8,40.0,8,0,100.0
5,,Player 069,Team 001,20,8,40.0,8,0,100.0
5,,Player 100,Team 001,20,4,20.0,4,0,100.0
5,,Player 090,Team 005,20,2,10.0,2,0,100.0
5,,Player 015,Team 006,20,2,10.0,2,0,100.0
5,,Player 019,Team 009,20,8,40.0,7,1,87.5
5,,Player 070,Team 014,20,8,40.0,6,2,75.0
5,,Player 095,Team 014,20,8,40.0,6,2,75.0
5,,Player 096,Team 014,20,8,40.0,6,2,75.0
5,,Player 071,Team 014,20,8,40.0,6,2,75.0
5,,Player 101,Team 001,20,4,20.0,3,1,75.0
5,,Player 027,Team 009,20,8,40.0,5,3,62.5
5,,Player 036,Team 008,20,8,40.0,5,3,62.5
5,,Player 035,Team 008,20,8,40.0,4,4,50.0
5,,Player 084,Team 014,20,8,40.0,4,4,50.0
5,,Player 089,Team 010,20,8,40.0,4,4,50.0
5,,Player 029,Team 009,20,4,20.0,2,2,50.0
5,,Player 092,Team 008,20,4,20.0,2,2,50.0
5,,Player 044,Team 014,20,8,40.0,3,5,37.5
5,,Player 080,Team 009,20,8,40.0,3,5,37.5
5,,Player 102,Team 006,20,8,40.0,3,5,37.5
5,,Player 093,Team 007,20,6,30.0,2,4,33.34
5,,Player 074,Team 002,20,8,40.0,2,6,25.0
5,,Player 043,Team 014,20,8,40.0,2,6,25.0
5,,Player 105,Team 016,20,4,20.0,1,3,25.0
5,,Player 106,Team 013,20,4,20.0,1,3,25.0
5,,Player 040,Team 005,20,4,20.0,1,3,25.0
5,,Player 107,Team 001,20,4,20.0,1,3,25.0
5,,Player 091,Team 005,20,6,30.0,1,5,16.67
5,,Player 060,Team 008,20,8,40.0,1,7,12.5
5,,Player 079,Team 009,20,8,40.0,1,7,12.5
5,,Player 081,Team 009,20,8,40.0,1,7,12.5
5,,Player 050,Team 001,20,8,40.0,1,7,12.5
5,,Player 061,Team 005,20,8,40.0,0,8,0.0
5,,Player 098,Team 007,20,6,30.0,0,6,0.0
5,,Player 062,Team 006,20,5,25.0,0,5,0.0
5,,Player 055,Team 016,20,4,20.0,0,4,0.0
5,,Player 103,Team 010,20,4,20.0,0,4,0.0
5,,Player 104,Team 005,20,4,20.0,0,4,0.0
5,,Player 097,Team 006,20,4,20.0,0,4,0.0
