round_number,round_match_number,player_name,team_name,opponent_player,opponent_team,player_points,opponent_points,side
1,2,Player 022,Team 011,Player 054,Team 002,3,0,Home
1,2,Player 054,Team 002,Player 022,Team 011,0,3,Away
1,2,Player 021,Team 011,Player 002,Team 002,0,3,Home
1,2,Player 002,Team 002,Player 021,Team 011,3,0,Away
1,2,Player 021,Team 011,Player 053,Team 002,3,0,Home
1,2,Player 053,Team 002,Player 021,Team 011,0,3,Away
1,2,Player 021,Team 011,Player 041,Team 002,3,2,Home
1,2,Player 041,Team 002,Player 021,Team 011,2,3,Away
1,2,Player 021,Team 011,Player 054,Team 002,3,0,Home
1,2,Player 054,Team 002,Player 021,Team 011,0,3,Away
1,2,Player 023,Team 011,Player 002,Team 002,2,3,Home
1,2,Player 002,Team 002,Player 023,Team 011,3,2,Away
1,2,Player 023,Team 011,Player 053,Team 002,3,0,Home
1,2,Player 053,Team 002,Player 023,Team 011,0,3,Away
1,2,Player 023,Team 011,Player 041,Team 002,3,0,Home
1,2,Player 041,Team 002,Player 023,Team 011,0,3,Away
1,2,Player 023,Team 011,Player 054,Team 002,3,0,Home
1,2,Player 054,Team 002,Player 023,Team 011,0,3,Away
1,2,Player 033,Team 011,Player 002,Team 002,1,3,Home
1,2,Player 002,Team 002,Player 033,Team 011,3,1,Away
1,2,Player 033,Team 011,Player 053,Team 002,3,1,Home
1,2,Player 053,Team 002,Player 033,Team 011,1,3,Away
1,2,Player 033,Team 011,Player 041,Team 002,0,3,Home
1,2,Player 041,Team 002,Player 033,Team 011,3,0,Away
1,2,Player 033,Team 011,Player 054,Team 002,3,0,Home
1,2,Player 054,Team 002,Player 033,Team 011,0,3,Away
1,3,Player 004,Team 004,Player 029,Team 013,3,2,Home
1,3,Player 029,Team 013,Player 004,Team 004,2,3,Away
1,3,Player 004,Team 004,Player 052,Team 013,3,0,Home
1,3,Player 052,Team 013,Player 004,Team 004,0,3,Away
1,3,Player 004,Team 004,Player 051,Team 013,3,0,Home
1,3,Player 051,Team 013,Player 004,Team 004,0,3,Away
1,3,Player 004,Team 004,(játék nélkül),Team 013,3,0,Home
1,3,(játék nélkül),Team 013,Player 004,Team 004,0,3,Away
1,3,Player 017,Team 004,Player 029,Team 013,1,3,Home
1,3,Player 029,Team 013,Player 017,Team 004,3,1,Away
1,3,Player 017,Team 004,Player 052,Team 013,3,0,Home
1,3,Player 052,Team 013,Player 017,Team 004,0,3,Away
1,3,Player 017,Team 004,Player 051,Team 013,3,0,Home
1,3,Player 051,Team 013,Player 017,Team 004,0,3,Away
1,3,Player 017,Team 004,(játék nélkül),Team 013,3,0,Home
1,3,(játék nélkül),Team 013,Player 017,Team 004,0,3,Away
1,3,Player 009,Team 004,Player 029,Team 013,3,0,Home
1,3,Player 029,Team 013,Player 009,Team 004,0,3,Away
1,3,Player 009,Team 004,Player 052,Team 013,3,1,Home
1,3,Player 052,Team 013,Player 009,Team 004,1,3,Away
1,3,Player 009,Team 004,Player 051,Team 013,3,0,Home
1,3,Player 051,Team 013,Player 009,Team 004,0,3,Away
1,3,Player 009,Team 004,(játék nélkül),Team 013,3,0,Home
1,3,(játék nélkül),Team 013,Player 009,Team 004,0,3,Away
1,3,Player 018,Team 004,Player 029,Team 013,2,3,Home
1,3,Player 029,Team 013,Player 018,Team 004,3,2,Away
1,3,Player 018,Team 004,Player 052,Team 013,3,1,Home
1,3,Player 052,Team 013,Player 018,Team 004,1,3,Away
1,3,Player 018,Team 004,Player 051,Team 013,3,0,Home
1,3,Player 051,Team 013,Player 018,Team 004,0,3,Away
1,3,Player 018,Team 004,(játék nélkül),Team 013,3,0,Home
1,3,(játék nélkül),Team 013,Player 018,Team 004,0,3,Away
1,4,Player 034,Team 007,Player 045,Team 009,3,0,Home
1,4,Player 045,Team 009,Player 034,Team 007,0,3,Away
1,4,Player 034,Team 007,Player 019,Team 009,1,3,Home
1,4,Player 019,Team 009,Player 034,Team 007,3,1,Away
1,4,Player 034,Team 007,Player 058,Team 009,3,0,Home
1,4,Player 058,Team 009,Player 034,Team 007,0,3,Away
1,4,Player 034,Team 007,Player 027,Team 009,1,3,Home
1,4,Player 027,Team 009,Player 034,Team 007,3,1,Away
1,4,Player 026,Team 007,Player 045,Team 009,3,1,Home
1,4,Player 045,Team 009,Player 026,Team 007,1,3,Away
1,4,Player 026,Team 007,Player 019,Team 009,1,3,Home
1,4,Player 019,Team 009,Player 026,Team 007,3,1,Away
1,4,Player 026,Team 007,Player 058,Team 009,3,0,Home
1,4,Player 058,Team 009,Player 026,Team 007,0,3,Away
1,4,Player 026,Team 007,Player 027,Team 009,3,0,Home
1,4,Player 027,Team 009,Player 026,Team 007,0,3,Away
1,4,Player 049,Team 007,Player 045,Team 009,0,3,Home
1,4,Player 045,Team 009,Player 049,Team 007,3,0,Away
1,4,Player 049,Team 007,Player 019,Team 009,0,3,Home
1,4,Player 019,Team 009,Player 049,Team 007,3,0,Away
1,4,Player 049,Team 007,Player 058,Team 009,3,1,Home
1,4,Player 058,Team 009,Player 049,Team 007,1,3,Away
1,4,Player 049,Team 007,Player 027,Team 009,1,3,Home
1,4,Player 027,Team 009,Player 049,Team 007,3,1,Away
1,4,Player 065,Team 007,Player 027,Team 009,0,3,Home
1,4,Player 027,Team 009,Player 065,Team 007,3,0,Away
1,4,Player 014,Team 007,Player 045,Team 009,3,0,Home
1,4,Player 045,Team 009,Player 014,Team 007,0,3,Away
1,4,Player 014,Team 007,Player 019,Team 009,3,0,Home
1,4,Player 019,Team 009,Player 014,Team 007,0,3,Away
1,4,Player 014,Team 007,Player 058,Team 009,3,1,Home
1,4,Player 058,Team 009,Player 014,Team 007,1,3,Away
1,5,Player 001,Team 001,Player 048,Team 015,3,0,Home
1,5,Player 048,Team 015,Player 001,Team 001,0,3,Away
1,5,Player 001,Team 001,Player 047,Team 015,3,1,Home
1,5,Player 047,Team 015,Player 001,Team 001,1,3,Away
1,5,Player 001,Team 001,Player 046,Team 015,3,0,Home
1,5,Player 046,Team 015,Player 001,Team 001,0,3,Away
1,5,Player 001,Team 001,Player 056,Team 015,3,0,Home
1,5,Player 056,Team 015,Player 001,Team 001,0,3,Away
1,5,Player 007,Team 001,Player 048,Team 015,3,0,Home
1,5,Player 048,Team 015,Player 007,Team 001,0,3,Away
1,5,Player 007,Team 001,Player 047,Team 015,3,2,Home
1,5,Player 047,Team 015,Player 007,Team 001,2,3,Away
1,5,Player 007,Team 001,Player 046,Team 015,3,0,Home
1,5,Player 046,Team 015,Player 007,Team 001,0,3,Away
1,5,Player 007,Team 001,Player 056,Team 015,3,0,Home
1,5,Player 056,Team 015,Player 007,Team 001,0,3,Away
1,5,Player 050,Team 001,Player 048,Team 015,0,3,Home
1,5,Player 048,Team 015,Player 050,Team 001,3,0,Away
1,5,Player 050,Team 001,Player 047,Team 015,0,3,Home
1,5,Player 047,Team 015,Player 050,Team 001,3,0,Away
1,5,Player 050,Team 001,Player 046,Team 015,1,3,Home
1,5,Player 046,Team 015,Player 050,Team 001,3,1,Away
1,5,Player 050,Team 001,Player 056,Team 015,3,2,Home
1,5,Player 056,Team 015,Player 050,Team 001,2,3,Away
1,5,Player 013,Team 001,Player 048,Team 015,3,0,Home
1,5,Player 048,Team 015,Player 013,Team 001,0,3,Away
1,5,Player 013,Team 001,Player 047,Team 015,3,1,Home
1,5,Player 047,Team 015,Player 013,Team 001,1,3,Away
1,5,Player 013,Team 001,Player 046,Team 015,3,0,Home
1,5,Player 046,Team 015,Player 013,Team 001,0,3,Away
1,5,Player 013,Team 001,Player 056,Team 015,3,0,Home
1,5,Player 056,Team 015,Player 013,Team 001,0,3,Away
1,6,Player 060,Team 008,Player 028,Team 012,0,3,Home
1,6,Player 028,Team 012,Player 060,Team 008,3,0,Away
1,6,Player 060,Team 008,Player 039,Team 012,0,3,Home
1,6,Player 039,Team 012,Player 060,Team 008,3,0,Away
1,6,Player 037,Team 008,Player 028,Team 012,0,3,Home
1,6,Player 028,Team 012,Player 037,Team 008,3,0,Away
1,6,Player 037,Team 008,Player 039,Team 012,1,3,Home
1,6,Player 039,Team 012,Player 037,Team 008,3,1,Away
1,6,Player 037,Team 008,Player 025,Team 012,3,2,Home
1,6,Player 025,Team 012,Player 037,Team 008,2,3,Away
1,6,Player 037,Team 008,(játék nélkül),Team 012,3,0,Home
1,6,(játék nélkül),Team 012,Player 037,Team 008,0,3,Away
1,6,Player 036,Team 008,Player 028,Team 012,0,3,Home
1,6,Player 028,Team 012,Player 036,Team 008,3,0,Away
1,6,Player 036,Team 008,Player 039,Team 012,3,1,Home
1,6,Player 039,Team 012,Player 036,Team 008,1,3,Away
1,6,Player 036,Team 008,Player 025,Team 012,0,3,Home
1,6,Player 025,Team 012,Player 036,Team 008,3,0,Away
1,6,Player 036,Team 008,(játék nélkül),Team 012,3,0,Home
1,6,(játék nélkül),Team 012,Player 036,Team 008,0,3,Away
1,6,Player 016,Team 008,Player 028,Team 012,3,1,Home
1,6,Player 028,Team 012,Player 016,Team 008,1,3,Away
1,6,Player 016,Team 008,Player 039,Team 012,3,0,Home
1,6,Player 039,Team 012,Player 016,Team 008,0,3,Away
1,6,Player 016,Team 008,Player 025,Team 012,1,3,Home
1,6,Player 025,Team 012,Player 016,Team 008,3,1,Away
1,6,Player 016,Team 008,(játék nélkül),Team 012,3,0,Home
1,6,(játék nélkül),Team 012,Player 016,Team 008,0,3,Away
1,6,Player 035,Team 008,Player 025,Team 012,1,3,Home
1,6,Player 025,Team 012,Player 035,Team 008,3,1,Away
1,6,Player 035,Team 008,(játék nélkül),Team 012,3,0,Home
1,6,(játék nélkül),Team 012,Player 035,Team 008,0,3,Away
1,7,Player 043,Team 014,Player 006,Team 005,0,3,Home
1,7,Player 006,Team 005,Player 043,Team 014,3,0,Away
1,7,Player 043,Team 014,Player 040,Team 005,0,3,Home
1,7,Player 040,Team 005,Player 043,Team 014,3,0,Away
1,7,Player 043,Team 014,Player 038,Team 005,3,0,Home
1,7,Player 038,Team 005,Player 043,Team 014,0,3,Away
1,7,Player 043,Team 014,Player 012,Team 005,0,3,Home
1,7,Player 012,Team 005,Player 043,Team 014,3,0,Away
1,7,Player 031,Team 014,Player 006,Team 005,1,3,Home
1,7,Player 006,Team 005,Player 031,Team 014,3,1,Away
1,7,Player 031,Team 014,Player 040,Team 005,3,1,Home
1,7,Player 040,Team 005,Player 031,Team 014,1,3,Away
1,7,Player 031,Team 014,Player 038,Team 005,3,0,Home
1,7,Player 038,Team 005,Player 031,Team 014,0,3,Away
1,7,Player 031,Team 014,Player 012,Team 005,0,3,Home
1,7,Player 012,Team 005,Player 031,Team 014,3,0,Away
1,7,Player 044,Team 014,Player 006,Team 005,1,3,Home
1,7,Player 006,Team 005,Player 044,Team 014,3,1,Away
1,7,Player 044,Team 014,Player 038,Team 005,2,3,Home
1,7,Player 038,Team 005,Player 044,Team 014,3,2,Away
1,7,Player 044,Team 014,Player 012,Team 005,0,3,Home
1,7,Player 012,Team 005,Player 044,Team 014,3,0,Away
1,7,Player 044,Team 014,Player 061,Team 005,3,2,Home
1,7,Player 061,Team 005,Player 044,Team 014,2,3,Away
1,7,Player 042,Team 014,Player 006,Team 005,0,3,Home
1,7,Player 006,Team 005,Player 042,Team 014,3,0,Away
1,7,Player 042,Team 014,Player 038,Team 005,1,3,Home
1,7,Player 038,Team 005,Player 042,Team 014,3,1,Away
1,7,Player 042,Team 014,Player 012,Team 005,1,3,Home
1,7,Player 012,Team 005,Player 042,Team 014,3,1,Away
1,7,Player 042,Team 014,Player 061,Team 005,3,0,Home
1,7,Player 061,Team 005,Player 042,Team 014,0,3,Away
1,8,Player 055,Team 016,Player 008,Team 003,0,3,Home
1,8,Player 008,Team 003,Player 055,Team 016,3,0,Away
1,8,Player 055,Team 016,Player 005,Team 003,0,3,Home
1,8,Player 005,Team 003,Player 055,Team 016,3,0,Away
1,8,Player 055,Team 016,Player 125,Team 003,0,3,Home
1,8,Player 125,Team 003,Player 055,Team 016,3,0,Away
1,8,Player 055,Team 016,Player 003,Team 003,0,3,Home
1,8,Player 003,Team 003,Player 055,Team 016,3,0,Away
1,8,Player 057,Team 016,Player 008,Team 003,0,3,Home
1,8,Player 008,Team 003,Player 057,Team 016,3,0,Away
1,8,Player 057,Team 016,Player 005,Team 003,1,3,Home
1,8,Player 005,Team 003,Player 057,Team 016,3,1,Away
1,8,Player 057,Team 016,Player 125,Team 003,0,3,Home
1,8,Player 125,Team 003,Player 057,Team 016,3,0,Away
1,8,Player 057,Team 016,Player 003,Team 003,1,3,Home
1,8,Player 003,Team 003,Player 057,Team 016,3,1,Away
1,8,Player 059,Team 016,Player 008,Team 003,0,3,Home
1,8,Player 008,Team 003,Player 059,Team 016,3,0,Away
1,8,Player 059,Team 016,Player 005,Team 003,2,3,Home
1,8,Player 005,Team 003,Player 059,Team 016,3,2,Away
1,8,Player 059,Team 016,Player 125,Team 003,1,3,Home
1,8,Player 125,Team 003,Player 059,Team 016,3,1,Away
1,8,Player 059,Team 016,Player 003,Team 003,1,3,Home
1,8,Player 003,Team 003,Player 059,Team 016,3,1,Away
1,8,(játék nélkül),Team 016,Player 008,Team 003,0,3,Home
1,8,Player 008,Team 003,(játék nélkül),Team 016,3,0,Away
1,8,(játék nélkül),Team 016,Player 005,Team 003,0,3,Home
1,8,Player 005,Team 003,(játék nélkül),Team 016,3,0,Away
1,8,(játék nélkül),Team 016,Player 125,Team 003,0,3,Home
1,8,Player 125,Team 003,(játék nélkül),Team 016,3,0,Away
1,8,(játék nélkül),Team 016,Player 003,Team 003,0,3,Home
1,8,Player 003,Team 003,(játék nélkül),Team 016,3,0,Away
2,1,Player 074,Team 002,Player 014,Team 007,0,3,Home
2,1,Player 014,Team 007,Player 074,Team 002,3,0,Away
2,1,Player 074,Team 002,Player 034,Team 007,1,3,Home
2,1,Player 034,Team 007,Player 074,Team 002,3,1,Away
2,1,Player 074,Team 002,Player 088,Team 007,3,0,Home
2,1,Player 088,Team 007,Player 074,Team 002,0,3,Away
2,1,Player 074,Team 002,Player 093,Team 007,3,1,Home
2,1,Player 093,Team 007,Player 074,Team 002,1,3,Away
2,1,Player 078,Team 002,Player 014,Team 007,0,3,Home
2,1,Player 014,Team 007,Player 078,Team 002,3,0,Away
2,1,Player 078,Team 002,Player 034,Team 007,1,3,Home
2,1,Player 034,Team 007,Player 078,Team 002,3,1,Away
2,1,Player 078,Team 002,Player 026,Team 007,0,3,Home
2,1,Player 026,Team 007,Player 078,Team 002,3,0,Away
2,1,Player 078,Team 002,Player 088,Team 007,3,2,Home
2,1,Player 088,Team 007,Player 078,Team 002,2,3,Away
2,1,Player 053,Team 002,Player 014,Team 007,0,3,Home
2,1,Player 014,Team 007,Player 053,Team 002,3,0,Away
2,1,Player 053,Team 002,Player 034,Team 007,0,3,Home
2,1,Player 034,Team 007,Player 053,Team 002,3,0,Away
2,1,Player 053,Team 002,Player 026,Team 007,0,3,Home
2,1,Player 026,Team 007,Player 053,Team 002,3,0,Away
2,1,Player 053,Team 002,Player 088,Team 007,3,0,Home
2,1,Player 088,Team 007,Player 053,Team 002,0,3,Away
2,1,Player 002,Team 002,Player 014,Team 007,1,3,Home
2,1,Player 014,Team 007,Player 002,Team 002,3,1,Away
2,1,Player 002,Team 002,Player 034,Team 007,3,0,Home
2,1,Player 034,Team 007,Player 002,Team 002,0,3,Away
2,1,Player 002,Team 002,Player 088,Team 007,3,0,Home
2,1,Player 088,Team 007,Player 002,Team 002,0,3,Away
2,1,Player 002,Team 002,Player 093,Team 007,3,0,Home
2,1,Player 093,Team 007,Player 002,Team 002,0,3,Away
2,2,Player 039,Team 012,Player 013,Team 001,0,3,Home
2,2,Player 013,Team 001,Player 039,Team 012,3,0,Away
2,2,Player 039,Team 012,Player 076,Team 001,3,0,Home
2,2,Player 076,Team 001,Player 039,Team 012,0,3,Away
2,2,Player 039,Team 012,Player 069,Team 001,0,3,Home
2,2,Player 069,Team 001,Player 039,Team 012,3,0,Away
2,2,Player 039,Team 012,Player 050,Team 001,3,1,Home
2,2,Player 050,Team 001,Player 039,Team 012,1,3,Away
2,2,Player 028,Team 012,Player 013,Team 001,2,3,Home
2,2,Player 013,Team 001,Player 028,Team 012,3,2,Away
2,2,Player 028,Team 012,Player 076,Team 001,1,3,Home
2,2,Player 076,Team 001,Player 028,Team 012,3,1,Away
2,2,Player 028,Team 012,Player 069,Team 001,1,3,Home
2,2,Player 069,Team 001,Player 028,Team 012,3,1,Away
2,2,Player 028,Team 012,Player 050,Team 001,3,0,Home
2,2,Player 050,Team 001,Player 028,Team 012,0,3,Away
2,2,Player 083,Team 012,Player 013,Team 001,0,3,Home
2,2,Player 013,Team 001,Player 083,Team 012,3,0,Away
2,2,Player 083,Team 012,Player 076,Team 001,0,3,Home
2,2,Player 076,Team 001,Player 083,Team 012,3,0,Away
2,2,Player 083,Team 012,Player 069,Team 001,0,3,Home
2,2,Player 069,Team 001,Player 083,Team 012,3,0,Away
2,2,Player 083,Team 012,Player 050,Team 001,3,0,Home
2,2,Player 050,Team 001,Player 083,Team 012,0,3,Away
2,2,Player 025,Team 012,Player 013,Team 001,1,3,Home
2,2,Player 013,Team 001,Player 025,Team 012,3,1,Away
2,2,Player 025,Team 012,Player 076,Team 001,3,2,Home
2,2,Player 076,Team 001,Player 025,Team 012,2,3,Away
2,2,Player 025,Team 012,Player 069,Team 001,1,3,Home
2,2,Player 069,Team 001,Player 025,Team 012,3,1,Away
2,2,Player 025,Team 012,Player 050,Team 001,3,1,Home
2,2,Player 050,Team 001,Player 025,Team 012,1,3,Away
2,3,Player 010,Team 006,Player 077,Team 008,3,0,Home
2,3,Player 077,Team 008,Player 010,Team 006,0,3,Away
2,3,Player 010,Team 006,Player 037,Team 008,1,3,Home
2,3,Player 037,Team 008,Player 010,Team 006,3,1,Away
2,3,Player 010,Team 006,Player 060,Team 008,3,0,Home
2,3,Player 060,Team 008,Player 010,Team 006,0,3,Away
2,3,Player 010,Team 006,Player 016,Team 008,1,3,Home
2,3,Player 016,Team 008,Player 010,Team 006,3,1,Away
2,3,Player 032,Team 006,Player 077,Team 008,2,3,Home
2,3,Player 077,Team 008,Player 032,Team 006,3,2,Away
2,3,Player 032,Team 006,Player 037,Team 008,1,3,Home
2,3,Player 037,Team 008,Player 032,Team 006,3,1,Away
2,3,Player 032,Team 006,Player 016,Team 008,1,3,Home
2,3,Player 016,Team 008,Player 032,Team 006,3,1,Away
2,3,Player 032,Team 006,Player 092,Team 008,3,1,Home
2,3,Player 092,Team 008,Player 032,Team 006,1,3,Away
2,3,Player 073,Team 006,Player 077,Team 008,3,2,Home
2,3,Player 077,Team 008,Player 073,Team 006,2,3,Away
2,3,Player 073,Team 006,Player 037,Team 008,0,3,Home
2,3,Player 037,Team 008,Player 073,Team 006,3,0,Away
2,3,Player 073,Team 006,Player 060,Team 008,3,0,Home
2,3,Player 060,Team 008,Player 073,Team 006,0,3,Away
2,3,Player 073,Team 006,Player 016,Team 008,2,3,Home
2,3,Player 016,Team 008,Player 073,Team 006,3,2,Away
2,3,Player 030,Team 006,Player 077,Team 008,0,3,Home
2,3,Player 077,Team 008,Player 030,Team 006,3,0,Away
2,3,Player 030,Team 006,Player 016,Team 008,0,3,Home
2,3,Player 016,Team 008,Player 030,Team 006,3,0,Away
2,3,Player 094,Team 006,Player 037,Team 008,1,3,Home
2,3,Player 037,Team 008,Player 094,Team 006,3,1,Away
2,3,Player 094,Team 006,Player 092,Team 008,1,3,Home
2,3,Player 092,Team 008,Player 094,Team 006,3,1,Away
2,4,Player 079,Team 009,Player 004,Team 004,0,3,Home
2,4,Player 004,Team 004,Player 079,Team 009,3,0,Away
2,4,Player 079,Team 009,Player 018,Team 004,1,3,Home
2,4,Player 018,Team 004,Player 079,Team 009,3,1,Away
2,4,Player 079,Team 009,Player 009,Team 004,0,3,Home
2,4,Player 009,Team 004,Player 079,Team 009,3,0,Away
2,4,Player 079,Team 009,Player 075,Team 004,3,2,Home
2,4,Player 075,Team 004,Player 079,Team 009,2,3,Away
2,4,Player 081,Team 009,Player 004,Team 004,0,3,Home
2,4,Player 004,Team 004,Player 081,Team 009,3,0,Away
2,4,Player 081,Team 009,Player 018,Team 004,3,1,Home
2,4,Player 018,Team 004,Player 081,Team 009,1,3,Away
2,4,Player 081,Team 009,Player 009,Team 004,0,3,Home
2,4,Player 009,Team 004,Player 081,Team 009,3,0,Away
2,4,Player 081,Team 009,Player 075,Team 004,1,3,Home
2,4,Player 075,Team 004,Player 081,Team 009,3,1,Away
2,4,Player 080,Team 009,Player 004,Team 004,0,3,Home
2,4,Player 004,Team 004,Player 080,Team 009,3,0,Away
2,4,Player 080,Team 009,Player 018,Team 004,3,2,Home
2,4,Player 018,Team 004,Player 080,Team 009,2,3,Away
2,4,Player 080,Team 009,Player 009,Team 004,0,3,Home
2,4,Player 009,Team 004,Player 080,Team 009,3,0,Away
2,4,Player 080,Team 009,Player 075,Team 004,1,3,Home
2,4,Player 075,Team 004,Player 080,Team 009,3,1,Away
2,4,Player 068,Team 009,Player 004,Team 004,3,0,Home
2,4,Player 004,Team 004,Player 068,Team 009,0,3,Away
2,4,Player 068,Team 009,Player 018,Team 004,3,0,Home
2,4,Player 018,Team 004,Player 068,Team 009,0,3,Away
2,4,Player 068,Team 009,Player 009,Team 004,3,0,Home
2,4,Player 009,Team 004,Player 068,Team 009,0,3,Away
2,4,Player 068,Team 009,Player 075,Team 004,3,1,Home
2,4,Player 075,Team 004,Player 068,Team 009,1,3,Away
2,5,Player 005,Team 003,Player 072,Team 011,0,3,Home
2,5,Player 072,Team 011,Player 005,Team 003,3,0,Away
2,5,Player 005,Team 003,Player 082,Team 011,3,0,Home
2,5,Player 082,Team 011,Player 005,Team 003,0,3,Away
2,5,Player 005,Team 003,Player 022,Team 011,0,3,Home
2,5,Player 022,Team 011,Player 005,Team 003,3,0,Away
2,5,Player 005,Team 003,Player 023,Team 011,2,3,Home
2,5,Player 023,Team 011,Player 005,Team 003,3,2,Away
2,5,Player 067,Team 003,Player 072,Team 011,3,0,Home
2,5,Player 072,Team 011,Player 067,Team 003,0,3,Away
2,5,Player 067,Team 003,Player 082,Team 011,3,0,Home
2,5,Player 082,Team 011,Player 067,Team 003,0,3,Away
2,5,Player 067,Team 003,Player 022,Team 011,3,2,Home
2,5,Player 022,Team 011,Player 067,Team 003,2,3,Away
2,5,Player 067,Team 003,Player 023,Team 011,3,1,Home
2,5,Player 023,Team 011,Player 067,Team 003,1,3,Away
2,5,Player 125,Team 003,Player 072,Team 011,0,3,Home
2,5,Player 072,Team 011,Player 125,Team 003,3,0,Away
2,5,Player 125,Team 003,Player 082,Team 011,3,1,Home
2,5,Player 082,Team 011,Player 125,Team 003,1,3,Away
2,5,Player 125,Team 003,Player 022,Team 011,1,3,Home
2,5,Player 022,Team 011,Player 125,Team 003,3,1,Away
2,5,Player 125,Team 003,Player 023,Team 011,1,3,Home
2,5,Player 023,Team 011,Player 125,Team 003,3,1,Away
2,5,Player 003,Team 003,Player 072,Team 011,2,3,Home
2,5,Player 072,Team 011,Player 003,Team 003,3,2,Away
2,5,Player 003,Team 003,Player 082,Team 011,1,3,Home
2,5,Player 082,Team 011,Player 003,Team 003,3,1,Away
2,5,Player 003,Team 003,Player 022,Team 011,3,1,Home
2,5,Player 022,Team 011,Player 003,Team 003,1,3,Away
2,5,Player 003,Team 003,Player 023,Team 011,3,2,Home
2,5,Player 023,Team 011,Player 003,Team 003,2,3,Away
2,6,Player 090,Team 005,Player 063,Team 010,3,0,Home
2,6,Player 063,Team 010,Player 090,Team 005,0,3,Away
2,6,Player 090,Team 005,Player 064,Team 010,3,0,Home
2,6,Player 064,Team 010,Player 090,Team 005,0,3,Away
2,6,Player 038,Team 005,Player 063,Team 010,3,0,Home
2,6,Player 063,Team 010,Player 038,Team 005,0,3,Away
2,6,Player 038,Team 005,Player 064,Team 010,3,0,Home
2,6,Player 064,Team 010,Player 038,Team 005,0,3,Away
2,6,Player 038,Team 005,Player 020,Team 010,2,3,Home
2,6,Player 020,Team 010,Player 038,Team 005,3,2,Away
2,6,Player 038,Team 005,Player 089,Team 010,3,0,Home
2,6,Player 089,Team 010,Player 038,Team 005,0,3,Away
2,6,Player 006,Team 005,Player 063,Team 010,3,0,Home
2,6,Player 063,Team 010,Player 006,Team 005,0,3,Away
2,6,Player 006,Team 005,Player 064,Team 010,3,0,Home
2,6,Player 064,Team 010,Player 006,Team 005,0,3,Away
2,6,Player 006,Team 005,Player 020,Team 010,3,0,Home
2,6,Player 020,Team 010,Player 006,Team 005,0,3,Away
2,6,Player 006,Team 005,Player 089,Team 010,3,0,Home
2,6,Player 089,Team 010,Player 006,Team 005,0,3,Away
2,6,Player 012,Team 005,Player 063,Team 010,3,0,Home
2,6,Player 063,Team 010,Player 012,Team 005,0,3,Away
2,6,Player 012,Team 005,Player 064,Team 010,3,0,Home
2,6,Player 064,Team 010,Player 012,Team 005,0,3,Away
2,6,Player 012,Team 005,Player 020,Team 010,3,0,Home
2,6,Player 020,Team 010,Player 012,Team 005,0,3,Away
2,6,Player 012,Team 005,Player 089,Team 010,3,0,Home
2,6,Player 089,Team 010,Player 012,Team 005,0,3,Away
2,6,Player 091,Team 005,Player 020,Team 010,2,3,Home
2,6,Player 020,Team 010,Player 091,Team 005,3,2,Away
